id,category,title,simpsons_episode,season,episode,start,end,notes
IS066,itchy_scratchy,The Tears of a Clone,Little Big Mom,11,10,,,
IS067,itchy_scratchy,From Here to Infirmity,HOMR,12,9,,,episode title is stylised HOMЯ
IS068,itchy_scratchy,Butter Off Dead,Little Girl in the Big Ten,13,20,,,
IS069,itchy_scratchy,Circus of the Scars,The Bart Wants What It Wants,13,11,,,
IS070,itchy_scratchy,Par for the Corpse,Blame It on Lisa,13,15,,,
IS071,itchy_scratchy,To Kill a Talking Bird,Jaws Wired Shut,13,9,,,
IS072,itchy_scratchy,Bleeder of the Pack,C.E. D'oh,14,15,,,
IS073,itchy_scratchy,The Battle of Slaughter-Loo,The Wandering Juvie,15,,,,
IS074,itchy_scratchy,A Briss Before Dying,Today I Am a Clown,15,,,,
IS075,itchy_scratchy,Moo Goo Gai Pain,Milhouse Doesn't Live Here Anymore,15,12,,,
IS076,itchy_scratchy,"What's Nuked, Pussycat?",Fraudcast News,15,22,,,
IS077,itchy_scratchy,Kitty-Kill Condition,The Heartbroke Kid,16,17,,,
IS078,itchy_scratchy,Untitled (Cats the musical),The Girl Who Slept Too Little,17,2,,,
IS079,itchy_scratchy,Untitled (Krusty dubs the voices),You Kent Always Say What You Want,18,22,,,
IS080,itchy_scratchy,Come Flay with Me,He Loves to Fly and He D'ohs,19,1,,,
IS081,itchy_scratchy,Spherical on 34th Street,Funeral for a Fiend,19,8,,,
IS082,itchy_scratchy,The Un-Natural,I Don't Wanna Know Why the Caged Bird Sings,19,4,,,
IS083,itchy_scratchy,diePod Slaylist,MyPods and Boomsticks,20,7,,,
IS084,itchy_scratchy,Koyaanis-Scratchy: Death Out of Balance,Stealing First Base,21,15,,,
IS085,itchy_scratchy,Mouse M.D.,Postcards from the Wedge,21,14,,,
IS086,itchy_scratchy,Untitled (cannon),"Bart Gets a ""Z""",21,2,,,
IS087,itchy_scratchy,Ain't I a Stinger?,Homer the Father,22,12,,,
IS088,itchy_scratchy,Dogday Hellody of 1933,How Munched Is That Birdie in the Window?,22,7,,,
IS089,itchy_scratchy,The Great Brawl of China,Angry Dad: The Movie,22,14,,,
IS090,itchy_scratchy,Hoop Screams,"Lisa Simpson, This Isn't Your Life",22,5,,,
IS091,itchy_scratchy,P.U.,Loan-a Lisa,22,2,,,
IS092,itchy_scratchy,Black & Blue Swan,The Ten-Per-Cent Solution,23,8,,,
IS093,itchy_scratchy,The Cat's Speech,The Ten-Per-Cent Solution,23,8,,,
IS094,itchy_scratchy,The Social Petwork,The Ten-Per-Cent Solution,23,8,,,
IS095,itchy_scratchy,"Roses Are Red, Violence Is Due",The Daughter Also Rises,23,13,,,
IS096,itchy_scratchy,Untitled (Frankenstein),Replaceable You,23,4,,,
IS097,itchy_scratchy,Cat's in the Cradle,Labor Pains,25,5,,,
IS098,itchy_scratchy,Catatouille,Pay Pal,25,21,,,
IS099,itchy_scratchy,Downton Tabby,The Winter of His Content,25,14,,,
IS100,itchy_scratchy,It's a Wonderful Knife,White Christmas Blues,25,8,,,
IS101,itchy_scratchy,"Rasta, Pussycat! Kill! Kill!",Yellow Subterfuge,25,7,,,
IS102,itchy_scratchy,Breaking Dad,Clown in the Dumps,26,1,,,
IS103,itchy_scratchy,Remember the Alimony,Every Man's Dream,27,1,,,
IS104,itchy_scratchy,The Bashin' of the Christ,The Nightmare After Krustmas,28,10,,,
IS105,itchy_scratchy,Cat-Sup,Looking for Mr. Goodbart,28,20,,,
IS106,itchy_scratchy,Dancing with the Scars,Kamp Krustier,28,16,,,
IS107,itchy_scratchy,The Garfield Assassination,The Cad and the Hat,28,15,,,
IS108,itchy_scratchy,Mousetrapping a Murderer,Trust but Clarify,28,5,,,
IS109,itchy_scratchy,Leave It To Cleaver,No Good Read Goes Unpunished,29,15,,,
IS110,itchy_scratchy,Death Shawarma-ed Over,Krusty the Clown,30,8,,,
IS111,itchy_scratchy,Pitchfork Perfect,Bart vs. Itchy & Scratchy,30,18,,,
IS112,itchy_scratchy,Untitled (brain drill),Daddicus Finch,30,9,,,
IS113,itchy_scratchy,Untitled (fan boat crocodile),Manger Things,32,16,,,
IS114,itchy_scratchy,D'oh Piercer,Treehouse of Horror XXXII,33,3,,,
IS115,itchy_scratchy,The Great British Slaying Show,Bartless,34,15,,,wiki flags as title-only; verify
IS116,itchy_scratchy,Olympic Pains,Estranger Things,36,18,,,
IS117,itchy_scratchy,Open Sesame Street,Estranger Things,36,18,,,
IS118,itchy_scratchy,Untitled (hammock / electrified toilet),Estranger Things,36,18,,,
IS119,itchy_scratchy,Untitled (police / Singin' in the Rain),Estranger Things,36,18,,,
IS120,itchy_scratchy,Untitled (organs with an oar),Estranger Things,36,18,,,
